#,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
4,FOOD GROUP,RICE,BASMATI,M.T,76532,10255,66992,-16.95,-15.68,-14.05,Export,2021,Qtr 2,April,1
5,FOOD GROUP,RICE,OTHERS,M.T,238524,18761,122559,-18.15,-16.82,-15.22,Export,2021,Qtr 2,April,1
6,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,21339,7329,47878,-10.93,-10.67,-8.95,Export,2021,Qtr 2,April,1
7,FOOD GROUP,,FRUITS,M.T,33788,2241,14640,-63.6,-62.92,-62.2,Export,2021,Qtr 2,April,1
8,FOOD GROUP,,VEGETABLES,M.T,107531,4863,31768,-35.55,-34.11,-32.84,Export,2021,Qtr 2,April,1
9,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
10,FOOD GROUP,,TOBACCO,M.T,1202,469,3064,38.32,21.82,24.25,Export,2021,Qtr 2,April,1
11,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
12,FOOD GROUP,,SPICES,M.T,1851,997,6513,-25.33,-24.58,-23.12,Export,2021,Qtr 2,April,1
13,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,6735,1274,8323,-47.6,-49.88,-48.92,Export,2021,Qtr 2,April,1
14,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
15,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,9582,5138,33565,0.94,2.66,4.65,Export,2021,Qtr 2,April,1
16,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,7926,51778,,-11.25,-9.54,Export,2021,Qtr 2,April,1
18,TEXTILE GROUP,,RAW COTTON,M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
19,TEXTILE GROUP,,COTTON YARN,M.T,34184,15726,102733,-12.86,-11.99,-10.3,Export,2021,Qtr 2,April,1
20,TEXTILE GROUP,,COTTON CLOTH,M.T,36981,24857,162382,-12.22,-13.36,-11.69,Export,2021,Qtr 2,April,1
21,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,0,0,0,-100,-100,-100,Export,2021,Qtr 2,April,1
22,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1370,526,3436,4.26,4.37,6.44,Export,2021,Qtr 2,April,1
23,TEXTILE GROUP,,KNITWEAR,TH.DOZ,15551,52842,345199,-0.72,7.89,9.98,Export,2021,Qtr 2,April,1
24,TEXTILE GROUP,,BED WEAR,M.T,37678,36665,239520,-1.64,-0.17,1.76,Export,2021,Qtr 2,April,1
25,TEXTILE GROUP,,TOWELS,M.T,18787,12950,84598,4.27,1.93,3.9,Export,2021,Qtr 2,April,1
26,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,2204,1005,6565,-14.21,-7.03,-5.25,Export,2021,Qtr 2,April,1
27,TEXTILE GROUP,,READYMADE GARMENTS,,,37296,243642,,-6.9,-5.1,Export,2021,Qtr 2,April,1
28,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,7511,4966,32441,-21.09,-19.13,-17.57,Export,2021,Qtr 2,April,1
29,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,9460,61799,,1.57,3.53,Export,2021,Qtr 2,April,1
30,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,8430,55070,,-10.61,-8.89,Export,2021,Qtr 2,April,1
32,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,45753,3258,21283,100,100,100,Export,2021,Qtr 2,April,1
33,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,7863,1190,7774,1699.31,1283.72,1316.03,Export,2021,Qtr 2,April,1
34,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,1079,55,359,100,100,100,Export,2021,Qtr 2,April,1
35,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
37,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,127,856,5592,-20.63,-19.02,-17.46,Export,2021,Qtr 2,April,1
39,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,265,2090,13653,20.45,17.55,19.84,Export,2021,Qtr 2,April,1
40,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,120,732,4782,-26.83,-16.63,-15.02,Export,2021,Qtr 2,April,1
41,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,,1127,7362,,8.26,10.33,Export,2021,Qtr 2,April,1
42,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,1662,2482,16214,30.05,0.08,2.03,Export,2021,Qtr 2,April,1
44,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,110,2961,19343,-12,-4.14,-2.3,Export,2021,Qtr 2,April,1
45,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,450,2969,19395,-37.93,-22.6,-21.11,Export,2021,Qtr 2,April,1
46,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,205,1339,,0,1.98,Export,2021,Qtr 2,April,1
48,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,540,942,6154,-15.76,-26.12,-24.67,Export,2021,Qtr 2,April,1
49,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,6,9,59,-73.91,-59.09,-58.74,Export,2021,Qtr 2,April,1
50,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,872,336,2195,-17.74,-16.83,-15.19,Export,2021,Qtr 2,April,1
51,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,5474,35760,,-11.05,-9.33,Export,2021,Qtr 2,April,1
52,OTHER MANUFACTURES GROUP,,CUTLERY,,,1283,8381,,-20.95,-19.43,Export,2021,Qtr 2,April,1
53,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,155,62,405,-67.02,-57.53,-56.87,Export,2021,Qtr 2,April,1
55,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
56,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,14099,2960,19337,-27.24,-20.71,-19.18,Export,2021,Qtr 2,April,1
57,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,2500,2958,19324,-20.33,-16.82,-15.2,Export,2021,Qtr 2,April,1
58,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,10471,68404,,-33.46,-32.17,Export,2021,Qtr 2,April,1
60,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,260,654,4272,-7.14,-0.46,1.42,Export,2021,Qtr 2,April,1
61,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,204,1333,,-23.02,-21.4,Export,2021,Qtr 2,April,1
62,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,339,2215,,-48.71,-47.71,Export,2021,Qtr 2,April,1
64,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,832,5435,,-27.65,-26.23,Export,2021,Qtr 2,April,1
65,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,311,2032,,-7.44,-5.75,Export,2021,Qtr 2,April,1
66,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,483,3155,,-37.52,-36.33,Export,2021,Qtr 2,April,1
67,OTHER MANUFACTURES GROUP,,GEMS,K.G,211,43,281,-28.47,-29.51,-28.13,Export,2021,Qtr 2,April,1
68,OTHER MANUFACTURES GROUP,,JEWELLERY,,,925,6043,,1041.98,1059.88,Export,2021,Qtr 2,April,1
69,OTHER MANUFACTURES GROUP,,FURNITURE,,,136,888,,37.37,40.51,Export,2021,Qtr 2,April,1
70,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,0,0,0,-100,-100,-100,Export,2021,Qtr 2,April,1
71,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,0,0,,0,0,Export,2021,Qtr 2,April,1
72,OTHER MANUFACTURES GROUP,,CEMENT,M.T,377016,2298,15012,-51.47,-45.14,-44.09,Export,2021,Qtr 2,April,1
73,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,2960,505,3299,16.58,5.65,7.78,Export,2021,Qtr 2,April,1
74,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,26492,173066,,-2.02,-0.14,Export,2021,Qtr 2,April,1
78,FOOD GROUP,RICE,BASMATI,M.T,57515,8285,50489,-18.43,-11.93,-14.35,Export,2021,Qtr 3,August,1
79,FOOD GROUP,RICE,OTHERS,M.T,188683,14765,89978,17.36,14.45,11.32,Export,2021,Qtr 3,August,1
80,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,4346,1758,10716,-36.11,-22.6,-24.71,Export,2021,Qtr 3,August,1
81,FOOD GROUP,,FRUITS,M.T,46066,6355,38726,-10.74,-18.19,-20.43,Export,2021,Qtr 3,August,1
82,FOOD GROUP,,VEGETABLES,M.T,68369,3515,21420,27.65,30.67,27.08,Export,2021,Qtr 3,August,1
83,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
84,FOOD GROUP,,TOBACCO,M.T,1857,697,4249,295.04,361.81,349.15,Export,2021,Qtr 3,August,1
85,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
86,FOOD GROUP,,SPICES,M.T,1894,1251,7626,31.14,37.67,33.93,Export,2021,Qtr 3,August,1
87,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,5366,1213,7394,35.31,77.66,72.88,Export,2021,Qtr 3,August,1
88,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
89,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,6047,4182,25482,6.93,8.87,5.89,Export,2021,Qtr 3,August,1
90,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,11433,69670,,-12.08,-14.49,Export,2021,Qtr 3,August,1
92,TEXTILE GROUP,,RAW COTTON,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
93,TEXTILE GROUP,,COTTON YARN,M.T,32880,16987,103518,12.31,18.43,15.19,Export,2021,Qtr 3,August,1
94,TEXTILE GROUP,,COTTON CLOTH,M.T,46170,30880,188181,11.24,7.83,4.87,Export,2021,Qtr 3,August,1
95,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,303,63,382,-0.98,1.17,-1.55,Export,2021,Qtr 3,August,1
96,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1636,805,4907,46.43,76.2,71.39,Export,2021,Qtr 3,August,1
97,TEXTILE GROUP,,KNITWEAR,TH.DOZ,10215,59761,364172,-2.89,-4.65,-7.27,Export,2021,Qtr 3,August,1
98,TEXTILE GROUP,,BED WEAR,M.T,40179,43448,264764,-15.6,3.37,0.54,Export,2021,Qtr 3,August,1
