c,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
3,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,4199,1989,12993,-36.16,-39.25,-38.08,Import,2021,Qtr 2,April,1
4,FOOD GROUP,, WHEAT UNMILLED,MT,0,0,0,-100,-100,-100,Import,2021,Qtr 2,April,1
5,FOOD GROUP,, DRY FRUITS & NUTS,MT,7191,630,4116,-19.96,-17.65,-16.09,Import,2021,Qtr 2,April,1
6,FOOD GROUP,, TEA,MT,22779,8095,52882,-3.04,-7,-5.2,Import,2021,Qtr 2,April,1
7,FOOD GROUP,, SPICES,MT,14881,3736,24406,-13.02,24.49,26.88,Import,2021,Qtr 2,April,1
8,FOOD GROUP,, SOYABEAN OIL,MT,13300,2154,14071,100,100,100,Import,2021,Qtr 2,April,1
9,FOOD GROUP,, PALM OIL,MT,275371,43055,281264,-0.25,0.14,2.07,Import,2021,Qtr 2,April,1
10,FOOD GROUP,, SUGAR,MT,773,71,464,-6.42,-4.05,-2.73,Import,2021,Qtr 2,April,1
11,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,155747,14624,95534,26.62,32.69,35.26,Import,2021,Qtr 2,April,1
12,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,44735,292239,,9.61,11.73,Import,2021,Qtr 2,April,1
14,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,12556,82024,,-44.71,-43.64,Import,2021,Qtr 2,April,1
15,MACHINERY GROUP,, OFFICE MACHINE INCL DATA PROC EQUIP;,,,6685,43671,,-13.03,-11.35,Import,2021,Qtr 2,April,1
16,MACHINERY GROUP,, TEXTILE MACHINERY,,,8530,55724,,0.96,2.9,Import,2021,Qtr 2,April,1
17,MACHINERY GROUP,, CONSTRUCTION & MINING MACHINERY,,,1439,9401,,-66.55,-65.9,Import,2021,Qtr 2,April,1
18,MACHINERY GROUP,, ELECTRICAL MACHINERY & APPARATUS,,,27084,176931,,-4.5,-2.66,Import,2021,Qtr 2,April,1
20,MACHINERY GROUP, TELE COM, MOBILE PHONE,,,22807,148991,,-34.89,-33.64,Import,2021,Qtr 2,April,1
21,MACHINERY GROUP, TELE COM, OTHER APPARATUS,,,6758,44148,,-45.22,-44.16,Import,2021,Qtr 2,April,1
22,MACHINERY GROUP,, AGRICULTURAL MACHINERY & IMPLEMENTS,,,1154,7539,,29.23,31.78,Import,2021,Qtr 2,April,1
23,MACHINERY GROUP,, OTHER MACHINERY,,,34494,225338,,-21.34,-19.82,Import,2021,Qtr 2,April,1
27,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CBU-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,2726,17808,,68.58,71.79,Import,2021,Qtr 2,April,1
28,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CARS,,,4737,30945,,30.82,33.35,Import,2021,Qtr 2,April,1
29,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CBU-MOTOR CYCLES,,,50,327,,19.05,20.66,Import,2021,Qtr 2,April,1
31,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)","CKD/SKD-BUSES,TRUCKS & OTH  HEAVY VEHICLES",,,7112,46460,,-16.57,-14.97,Import,2021,Qtr 2,April,1
32,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CARS,,,24734,161579,,2.58,4.56,Import,2021,Qtr 2,April,1
33,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",CKD/SKD-MOTOR CYCLES,,,1026,6703,,-29.44,-28.05,Import,2021,Qtr 2,April,1
34,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",PARTS & ACCESSORIES,,,5946,38843,,-26.54,-25.12,Import,2021,Qtr 2,April,1
35,TRANSPORT GROUP," ROAD MOTOR VEH  (BUILD UNIT,CKD/SKD)",OTHERS,,,744,4860,,3.33,5.38,Import,2021,Qtr 2,April,1
36,TRANSPORT GROUP,,"AIRCRAFTS, SHIPS AND BOATS",,,2274,14855,,212.79,218.57,Import,2021,Qtr 2,April,1
37,TRANSPORT GROUP,,OTHERS TRANSPORT EQUIPMENTS,,,40,261,,-2.44,-0.76,Import,2021,Qtr 2,April,1
39,PETROLEUM GROUP,, PETROLEUM PRODUCTS,MT,931172,64005,418123,-28.62,-26.83,-25.42,Import,2021,Qtr 2,April,1
40,PETROLEUM GROUP,, PETROLEUM CRUDE,MT,874122,58790,384055,39.75,39.84,42.54,Import,2021,Qtr 2,April,1
41,PETROLEUM GROUP,,"NATURAL GAS, LIQUIFIED",,,45117,294734,,24.78,27.19,Import,2021,Qtr 2,April,1
42,PETROLEUM GROUP,," PETROLEUM GAS, LIQUIFIED",,,7189,46963,,-0.84,1.07,Import,2021,Qtr 2,April,1
43,PETROLEUM GROUP,, OTHERS,,,5,33,,25,32,Import,2021,Qtr 2,April,1
45,TEXTILE GROUP,, RAW COTTON,MT,84075,23725,154988,-10.21,-6.05,-4.24,Import,2021,Qtr 2,April,1
46,TEXTILE GROUP,, SYNTHETIC FIBRE,MT,35680,9421,61544,-12.01,-4.69,-2.86,Import,2021,Qtr 2,April,1
47,TEXTILE GROUP,, SYNTHETIC & ARTIFICIAL SILK YARN,MT,34445,10220,66764,-3.47,-0.05,1.88,Import,2021,Qtr 2,April,1
48,TEXTILE GROUP,, WORN CLOTHING,MT,64513,4370,28548,-7.79,-5.25,-3.41,Import,2021,Qtr 2,April,1
49,TEXTILE GROUP,, OTHR TEXTILE ITEMS,,,7886,51517,,-24.03,-22.56,Import,2021,Qtr 2,April,1
51,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, FERTILIZER MANUFACTURED,MT,41877,2722,17782,-76.18,-76.57,-76.12,Import,2021,Qtr 2,April,1
52,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, INSECTICIDES,MT,4052,3408,22263,-2.6,-8.9,-7.15,Import,2021,Qtr 2,April,1
53,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, PLASTIC MATERIALS,MT,165930,40717,265991,10.48,13.74,15.93,Import,2021,Qtr 2,April,1
54,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, MEDICINAL PRODUCTS,MT,3291,23873,155954,71.5,32.1,34.65,Import,2021,Qtr 2,April,1
55,"AGRICULTURAL & OTHER
 CHEMICALS GROUP",, OTHERS,,,69368,453158,,-4,-2.14,Import,2021,Qtr 2,April,1
57,METAL GROUP,, GOLD,KG,17,150,980,54.55,51.52,53.85,Import,2021,Qtr 2,April,1
58,METAL GROUP,, IRON AND STEEL SCRAP,MT,324732,24394,159358,-2.04,-2.01,-0.12,Import,2021,Qtr 2,April,1
59,METAL GROUP,, IRON AND STEEL,MT,218425,25939,169451,-36.92,-32.05,-30.74,Import,2021,Qtr 2,April,1
60,METAL GROUP,, ALUMINIUM WROUGHT & WORKED,,,2530,16528,,-9.42,-7.67,Import,2021,Qtr 2,April,1
61,METAL GROUP,, ALL OTHER METALS & ARTICALS,,,11513,75211,,-8.52,-6.75,Import,2021,Qtr 2,April,1
63,MISCELLANEOUS GROUP,, RUBBER CRUDE INCL  SYNTH/RECLAIMED,MT,30769,2976,19441,-6.57,-18.87,-17.29,Import,2021,Qtr 2,April,1
64,MISCELLANEOUS GROUP,, RUBBER TYRES & TUBES,NO,568154,4280,27960,-3.96,0.73,2.68,Import,2021,Qtr 2,April,1
65,MISCELLANEOUS GROUP,, WOOD & CORK,,,1545,10093,,-5.04,-3.23,Import,2021,Qtr 2,April,1
66,MISCELLANEOUS GROUP,, JUTE,MT,3013,542,3541,-63.92,-58.47,-57.66,Import,2021,Qtr 2,April,1
67,MISCELLANEOUS GROUP,, PAPER & PAPER BOARD & MANUF THEREOF,MT,38587,5813,37974,-19.95,-9.88,-8.13,Import,2021,Qtr 2,April,1
68,MISCELLANEOUS GROUP,,ALL OTHERS ITEMS,,,64697,422641,,-12.87,-11.19,Import,2021,Qtr 2,April,1
71,FOOD GROUP,," MILK,CREAM & MILK FOOD FOR INFANTS",MT,3033,1588,9677,-7.94,-5.81,-8.41,Import,2021,Qtr 3,August,1
72,FOOD GROUP,, WHEAT UNMILLED,MT,57000,2702,16466,100,100,100,Import,2021,Qtr 3,August,1
73,FOOD GROUP,, DRY FRUITS & NUTS,MT,5209,579,3528,68.59,105.32,99.55,Import,2021,Qtr 3,August,1
74,FOOD GROUP,, TEA,MT,28529,10172,61987,53.18,54.97,50.72,Import,2021,Qtr 3,August,1
75,FOOD GROUP,, SPICES,MT,11324,3814,23242,-44.16,-7.94,-10.47,Import,2021,Qtr 3,August,1
76,FOOD GROUP,, SOYABEAN OIL,MT,3902,739,4503,-61.41,-61.71,-62.77,Import,2021,Qtr 3,August,1
77,FOOD GROUP,, PALM OIL,MT,289267,53005,323005,30.49,30.74,27.16,Import,2021,Qtr 3,August,1
78,FOOD GROUP,, SUGAR,MT,66323,5828,35515,97.27,99.38,93.89,Import,2021,Qtr 3,August,1
79,FOOD GROUP,, PULSES (LEGUMINOUS VEGETABLES),MT,95482,10722,65338,-25.5,-25.02,-27.08,Import,2021,Qtr 3,August,1
80,FOOD GROUP,, ALL OTHERS FOOD ITEMS,,,46400,282755,,49.87,45.76,Import,2021,Qtr 3,August,1
82,MACHINERY GROUP,, POWER GENERATING MACHINERY,,,28834,175710,,9.61,6.6,Import,2021,Qtr 3,August,1
